XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
127,rice straw,Trichoderma reesei ATCC 13631,CMCase,4.4,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 CMCose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for CMCase production.",2018,40
128,rice straw,Trichoderma reesei ATCC 13631,FPase,2.7,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 4 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for FPase production.",2018,40
129,rice husk,Trichoderma reesei ATCC 13631,xylanase,4402,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 2 CMCose ; 4 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40
130,rice husk,Trichoderma reesei ATCC 13631,CMCase,2.4,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 4 betaine ; 4 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for CMCase production.",2018,40
131,rice husk,Trichoderma reesei ATCC 13631,FPase,1.7,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 betaine ; 2 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for FPase production.",2018,40
132,wheat bran,Aspergillus niger IMI 91881,exo-polymethylgalacturonase (pectinase),21.7,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
132,wheat bran,Aspergillus niger IMI 91881,exo-polygalacturonase (pectinase),19.7,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
132,wheat bran,Aspergillus niger IMI 91881,endo-polymethylgalacturonase (pectinase),14.3,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
132,wheat bran,Aspergillus niger IMI 91881,endo-polygalacturonase (pectinase),2.3,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
133,wheat bran,Aspergillus sojae ATCC 20235,exo-polymethylgalacturonase (pectinase),33.4,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.","Article states: ""It has to be noted that A. sojae ATCC 20235, wich is still deposited as A. sojae at the ATCC, did not meet the requirements to be classified as A. sojae on the basis of morphological parameters and has been recently reclassified as A. oryzae […]."" This strain presented the best results for both exo and endo-enzymes, suggesting great potential for optimisation of its cultivation.",2012,41
133,wheat bran,Aspergillus sojae ATCC 20235,exo-polygalacturonase (pectinase),28.3,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.","Article states: ""It has to be noted that A. sojae ATCC 20235, wich is still deposited as A. sojae at the ATCC, did not meet the requirements to be classified as A. sojae on the basis of morphological parameters and has been recently reclassified as A. oryzae […]."" This strain presented the best results for both exo and endo-enzymes, suggesting great potential for optimisation of its cultivation.",2012,41
133,wheat bran,Aspergillus sojae ATCC 20235,endo-polymethylgalacturonase (pectinase),32.9,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.","Article states: ""It has to be noted that A. sojae ATCC 20235, wich is still deposited as A. sojae at the ATCC, did not meet the requirements to be classified as A. sojae on the basis of morphological parameters and has been recently reclassified as A. oryzae […]."" This strain presented the best results for both exo and endo-enzymes, suggesting great potential for optimisation of its cultivation. It has to be noted that endo-enzyme may require additional post-treatment to be isolated.",2012,41
133,wheat bran,Aspergillus sojae ATCC 20235,endo-polygalacturonase (pectinase),30.1,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.","Article states: ""It has to be noted that A. sojae ATCC 20235, wich is still deposited as A. sojae at the ATCC, did not meet the requirements to be classified as A. sojae on the basis of morphological parameters and has been recently reclassified as A. oryzae […]."" This strain presented the best results for both exo and endo-enzymes, suggesting great potential for optimisation of its cultivation. It has to be noted that endo-enzyme may require additional post-treatment to be isolated.",2012,41
134,wheat bran,Aspergillus sojae IMI 191303,exo-polymethylgalacturonase (pectinase),16.7,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
134,wheat bran,Aspergillus sojae IMI 191303,exo-polygalacturonase (pectinase),14.9,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
134,wheat bran,Aspergillus sojae IMI 191303,endo-polymethylgalacturonase (pectinase),4.8,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
134,wheat bran,Aspergillus sojae IMI 191303,endo-polygalacturonase (pectinase),18.8,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
135,wheat bran,Aspergillus sojae CBS 100928,exo-polymethylgalacturonase (pectinase),16.6,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
135,wheat bran,Aspergillus sojae CBS 100928,exo-polygalacturonase (pectinase),23,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",,2012,41
135,wheat bran,Aspergillus sojae CBS 100928,endo-polymethylgalacturonase (pectinase),28.8,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
135,wheat bran,Aspergillus sojae CBS 100928,endo-polygalacturonase (pectinase),23,U/gds,120,Mixture autoclaved (20mn ; 121°C).,"Dehydrated and ground orange peel (proportions: 70% WB ; 30% orange peel) + solution added to reach predefinded MR: 0,2N HCl.",NA,"pH=4,1-4,6 ; MR 1:1,2 ; Inoculum (2E7 spores/10g WB) ; T°= room T°.",It has to be noted that endo-enzymes may require additional post-treatment to be isolated.,2012,41
136,corn cob,Aspergillus niger GH1,ellagitannase,1.17998,U/mL,24,Mixture autoclaved (15mmn ; 121°C).,"Inducer : 30g/L pomegranate husk ellagitannins. For 3gs, 7mL of Pontecorvo culture medium (g/L): 6 NaNO3 ;  1,52 KH2PO4 ; 0,52 KCl  ; 0,52 MgSO4·7H2O ; 0,001 ZnSO4 ; 0,85  FeCl3. +1mL of trace metal solution (g/L): 0,01 Na2B4O7·10H2O ; 0,05 MnCl2·4H2O ; 0,05 Na2MoO4·2H2O ; 0,25 CuSO4·5H2O. ",NA,"pH=6,5 ; Inoculum (2E7 spores/gs) ; T)=30°C.","Yield values are converted from U/L. The experiment was realized in 60mL sterile columns, without forced aeration. Similar results were obtained with sugarcane bagasse as substrate, but corncobs presented a higher specific activity at a shorter time.",2014,42
137,mixture (rice bran ; glutinous rice),Aspergillus oryzae TISTR 3102,α-glucosidase,4.49,U/mL,168,None,None,NA,"pH=6,5 ; MC=40% (w/v) ; Inoculum (1E7 spores/mL ; T°=37°C.","Substrate proportions (w/w): 2RB:1GR. Effect on the substrate after incubation: the strain was highlighted for its potential in prebiotic production, wich improves the substrate capacity to stimulate probiotic growth and to inhibit bacterial pathogens such as E. coli and S. paratyphi.",2016,43
138,mixture (rice bran ; glutinous rice),Aspergillus oryzae TISTR 3222,α-glucosidase,1.65,U/mL,168,None,None,NA,"pH=6,5 ; MC=40% (w/v) ; Inoculum (1E7 spores/mL ; T°=37°C.",Substrate proportions (w/w): 2RB:1GR. Yield value is approximate.,2016,43
139,mixture (wheat bran ; soybean cake),Aspergillus niger DFR-5,xylanase,2596,U/gds,144,Powdered. Mixture sterilised (30mn ; 121°C).,"Solution added to reach predefined MC (g/l): 20 KH2PO4 ; 13 (NH4)2SO4 ; 3 CO(NH2)2 ; 3 MgSO4 ; 3 CaCl2 ; 0,05 FeSO4 ; 0,015 MnSO4 ; 0,014 ZnSO4 ; 0,002 CoCl2.",OFAT for production ; CCRD for extraction.,pH=6 ; MC=70% ; Inoculum (1mL ; 1E6 spores/mL) ; T°=50°C.,"Substrate proportions (w/w): 7WB:3SC. Incubation time was identified as critical parameter because xylanase activity sharply decreased after 6 days. Optimisation of the extraction lead to a recovery of 4465±52 U/gds, using water as extractant.",2010,44
140,wheat bran,Cladosporium sp. 16,L-asparaginase,3740,U/g protein,48,"Dried (72h ; 60°C), ground (2-3mm) ",None,CCRD,"pH=5,75 ; MC=57,5% ; Inoculum (752,5 µg protein/ml) ; T°=30°C.","Additional experiments determined that optimal bed depth was 3-5cm. The article states that the addition of Tween 20 has enhanced enzyme production by 1,3-fold.",2013,45
141,wheat bran,Cladosporium sp. 16,L-asparaginase,7100,U/g protein,96,"Dried (72h ; 60°C), ground (2-3mm) ",None,CCRD,"pH=5,75 ; MC=60% ; Inoculum (752,5 µg protein/ml) ; medium bed thickness =3cm ; T°=30±1°C ; RH=90%.","This experiment is an upscaling of xp 140, realised in a 1kg level tray reactor. L-asparaginase activity sharply decreased after 5 days.",2013,45
142,mixture (corn cob ; corn stover ; wheat bran),Co-culture (Trichoderma reesei ; Coprinus comatus),laccase,4009,U/mL,72,"Ground (250-375µm), washed.","Basal medium (g/L): 2 (NH4)2SO4 ; 0,5 urea ; 0,5 CaCl2 ; 3 KH2PO4 ; 0,5 MgSO4.7H2O. Inducers: 0,1mmol/L guaiacol + 2mmol/L Cu2+.",OFAT,"pH=5,5-6 ; Inoculum ( 5mL C. comatus at 0h then 2mL T.reesei at 12h ; 1E7 spores/mL) ; T°=26°C ; shaker 180rpm.","Substrate proportions (w/w): 5CC:2CS:2WB. Authors state: ""The highest laccase activity from the co-culture was 2.6 times as that of the C. comatus monoculture and reached a peak 3 days earlier.""",2015,46
